sample	class	superkingdom	taxonReads
200313_A00902_A_L001_APMG-8-5	Abditibacteriia	Bacteria	1
200313_A00902_A_L001_APMG-8-9	Abditibacteriia	Bacteria	1
200313_A00902_A_L002_APMG-9-1	Abditibacteriia	Bacteria	1
200313_A00902_A_L002_APMG-9-10	Abditibacteriia	Bacteria	1
200313_A00902_A_L002_APMG-9-3	Abditibacteriia	Bacteria	1
200313_A00902_A_L002_APMG-9-6	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_1	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_11	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_12	Abditibacteriia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_14	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_15	Abditibacteriia	Bacteria	5
201118_A00902_B_L1-2_APMG_19_16	Abditibacteriia	Bacteria	10
201118_A00902_B_L1-2_APMG_19_17	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_2	Abditibacteriia	Bacteria	6
201118_A00902_B_L1-2_APMG_19_3	Abditibacteriia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_7	Abditibacteriia	Bacteria	1
210810_A00902_B_L001_APMG-37-10	Abditibacteriia	Bacteria	1
210810_A00902_B_L001_APMG-37-11	Abditibacteriia	Bacteria	1
210810_A00902_B_L001_APMG-37-3	Abditibacteriia	Bacteria	3
210810_A00902_B_L001_APMG-37-4	Abditibacteriia	Bacteria	5
210810_A00902_B_L001_APMG-37-7	Abditibacteriia	Bacteria	3
210810_A00902_B_L001_APMG-37-8	Abditibacteriia	Bacteria	2
210810_A00902_B_L001_APMG-37-9	Abditibacteriia	Bacteria	4
210810_A00902_B_L002_APMG-38-1	Abditibacteriia	Bacteria	2
210810_A00902_B_L002_APMG-38-10	Abditibacteriia	Bacteria	5
210810_A00902_B_L002_APMG-38-5	Abditibacteriia	Bacteria	3
210810_A00902_B_L002_APMG-38-7	Abditibacteriia	Bacteria	1
210810_A00902_B_L002_APMG-38-8	Abditibacteriia	Bacteria	5
BH193L-1_S22	Abditibacteriia	Bacteria	1
BH194L-1_S25	Abditibacteriia	Bacteria	4
BH194L-2_S26	Abditibacteriia	Bacteria	3
BH194L-3_S25	Abditibacteriia	Bacteria	5
BH194L-6_S26	Abditibacteriia	Bacteria	3
BH194L-7_S17	Abditibacteriia	Bacteria	1
BH194L-7_S18	Abditibacteriia	Bacteria	2
BH195L-4_S29	Abditibacteriia	Bacteria	4
ELS162S7	Abditibacteriia	Bacteria	2
ELS163S8	Abditibacteriia	Bacteria	1
ELS165S9	Abditibacteriia	Bacteria	4
ELS167S10	Abditibacteriia	Bacteria	2
IE111L-1_S1	Abditibacteriia	Bacteria	2
IE111L-2_S2	Abditibacteriia	Bacteria	5
IE111L-3_S3	Abditibacteriia	Bacteria	4
IE111L-4_S1	Abditibacteriia	Bacteria	3
IE111L-5_S5	Abditibacteriia	Bacteria	4
IE111L-6_S6	Abditibacteriia	Bacteria	3
IE111L-7_S7	Abditibacteriia	Bacteria	3
IE112L-1_S9	Abditibacteriia	Bacteria	2
IE112L-2_S10	Abditibacteriia	Bacteria	3
IE112L-3_S11	Abditibacteriia	Bacteria	6
IE112L-4_S17	Abditibacteriia	Bacteria	8
IE112L-5_S18	Abditibacteriia	Bacteria	4
IE112L-6_S19	Abditibacteriia	Bacteria	3
IE112L-7_S12	Abditibacteriia	Bacteria	1
IE113L-1_S13	Abditibacteriia	Bacteria	5
IE113L-2_S14	Abditibacteriia	Bacteria	5
IE113L-3_S3	Abditibacteriia	Bacteria	4
IE113L-4_S4	Abditibacteriia	Bacteria	2
IE113L-6_S6	Abditibacteriia	Bacteria	3
IE113L-7_S7	Abditibacteriia	Bacteria	2
IE114L-1_S9	Abditibacteriia	Bacteria	3
IE114L-2_S10	Abditibacteriia	Bacteria	4
IE114L-3_S11	Abditibacteriia	Bacteria	5
JK079L-10-WDH_S10	Abditibacteriia	Bacteria	3
JK079L-11-WDH_S11	Abditibacteriia	Bacteria	2
JK079L-13-WDH_S13	Abditibacteriia	Bacteria	2
JK079L-2_S2	Abditibacteriia	Bacteria	2
JK079L-3_S3	Abditibacteriia	Bacteria	3
JK079L-4_S4	Abditibacteriia	Bacteria	4
JK079L-6-WDH_S6	Abditibacteriia	Bacteria	3
JK079L-7-WDH_S7	Abditibacteriia	Bacteria	2
JK079L-8_S8	Abditibacteriia	Bacteria	3
JK079L-9_S9	Abditibacteriia	Bacteria	2
JK080L-1_S17	Abditibacteriia	Bacteria	2
JK080L-11_S27	Abditibacteriia	Bacteria	3
JK080L-12_S28	Abditibacteriia	Bacteria	1
JK080L-13_S29	Abditibacteriia	Bacteria	1
JK080L-14_S30	Abditibacteriia	Bacteria	4
JK080L-2_S18	Abditibacteriia	Bacteria	4
JK080L-6_S22	Abditibacteriia	Bacteria	1
JK080L-8_S24	Abditibacteriia	Bacteria	1
