genus	class	phylum
Cellvibrio	Gammaproteobacteria	Pseudomonadota
Ancylobacter	Alphaproteobacteria	Pseudomonadota
Cryobacterium	Actinomycetes	Actinomycetota
Cupriavidus	Betaproteobacteria	Pseudomonadota
Pigmentiphaga	Betaproteobacteria	Pseudomonadota
Methylovorus	Betaproteobacteria	Pseudomonadota
Austwickia	Actinomycetes	Actinomycetota
NA	Planctomycetia	Planctomycetota
Halopseudomonas	Gammaproteobacteria	Pseudomonadota
Occallatibacter	Terriglobia	Acidobacteriota
Gaiella	Rubrobacteria	Actinomycetota
Thermoflexibacter	Cytophagia	Bacteroidota
Methylobacterium	Alphaproteobacteria	Pseudomonadota
Streptantibioticus	Actinomycetes	Actinomycetota
Alicyclobacillus	Bacilli	Bacillota
Chitinophaga	Chitinophagia	Bacteroidota
Mesorhizobium	Alphaproteobacteria	Pseudomonadota
Hydrotalea	Chitinophagia	Bacteroidota
Ferruginibacter	Chitinophagia	Bacteroidota
Collimonas	Betaproteobacteria	Pseudomonadota
Phormidesmis	Cyanophyceae	Cyanobacteriota
Aminivibrio	Synergistia	Synergistota
Roseovarius	Alphaproteobacteria	Pseudomonadota
Nocardioides	Actinomycetes	Actinomycetota
Buttiauxella	Gammaproteobacteria	Pseudomonadota
Aeromonas	Gammaproteobacteria	Pseudomonadota
Paenibacillus	Bacilli	Bacillota
Pusillimonas	Betaproteobacteria	Pseudomonadota
Magnetospirillum	Alphaproteobacteria	Pseudomonadota
Sphingobium	Alphaproteobacteria	Pseudomonadota
Coprobacillus	Erysipelotrichia	Bacillota
Acetonema	Negativicutes	Bacillota
Jeongeupia	Betaproteobacteria	Pseudomonadota
Comamonas	Betaproteobacteria	Pseudomonadota
Flectobacillus	Cytophagia	Bacteroidota
Sphingobacterium	Sphingobacteriia	Bacteroidota
Thalassovita	Alphaproteobacteria	Pseudomonadota
Rhodococcus	Actinomycetes	Actinomycetota
Burkholderia	Betaproteobacteria	Pseudomonadota
Capnocytophaga	Flavobacteriia	Bacteroidota
Camelimonas	Alphaproteobacteria	Pseudomonadota
Collinsella	Coriobacteriia	Actinomycetota
Xenococcus	Cyanophyceae	Cyanobacteriota
Cyanobacterium	Cyanophyceae	Cyanobacteriota
Endozoicomonas	Gammaproteobacteria	Pseudomonadota
Pontixanthobacter	Alphaproteobacteria	Pseudomonadota
Shewanella	Gammaproteobacteria	Pseudomonadota
Neorhizobium	Alphaproteobacteria	Pseudomonadota
Pseudomonas	Gammaproteobacteria	Pseudomonadota
Amnibacterium	Actinomycetes	Actinomycetota
Hyphomicrobium	Alphaproteobacteria	Pseudomonadota
Thiothrix	Gammaproteobacteria	Pseudomonadota
Sphingomonas	Alphaproteobacteria	Pseudomonadota
Streptomyces	Actinomycetes	Actinomycetota
Bremerella	Planctomycetia	Planctomycetota
Tropicimonas	Alphaproteobacteria	Pseudomonadota
Extensimonas	Betaproteobacteria	Pseudomonadota
Malaciobacter	Epsilonproteobacteria	Campylobacterota
Nonomuraea	Actinomycetes	Actinomycetota
Microlunatus	Actinomycetes	Actinomycetota
Neisseria	Betaproteobacteria	Pseudomonadota
Afipia	Alphaproteobacteria	Pseudomonadota
Microvirga	Alphaproteobacteria	Pseudomonadota
