sample	family	superkingdom	taxonReads
191011_SND405_A_L007_APMG-6-1	Bacillaceae	Bacteria	184
191011_SND405_A_L007_APMG-6-2	Bacillaceae	Bacteria	56016
191011_SND405_A_L007_APMG-6-3	Bacillaceae	Bacteria	35648
191011_SND405_A_L007_APMG-6-4	Bacillaceae	Bacteria	5405
191011_SND405_A_L007_APMG-6-5	Bacillaceae	Bacteria	459
191011_SND405_A_L007_APMG-6-6	Bacillaceae	Bacteria	3483
191011_SND405_A_L007_APMG-6-7	Bacillaceae	Bacteria	1
191011_SND405_A_L007_APMG-6-8	Bacillaceae	Bacteria	2
200313_A00902_A_L001_APMG-8-1	Bacillaceae	Bacteria	1091
200313_A00902_A_L001_APMG-8-10	Bacillaceae	Bacteria	6316
200313_A00902_A_L001_APMG-8-11	Bacillaceae	Bacteria	27232
200313_A00902_A_L001_APMG-8-12	Bacillaceae	Bacteria	14400
200313_A00902_A_L001_APMG-8-2	Bacillaceae	Bacteria	322
200313_A00902_A_L001_APMG-8-3	Bacillaceae	Bacteria	26065
200313_A00902_A_L001_APMG-8-4	Bacillaceae	Bacteria	1940
200313_A00902_A_L001_APMG-8-5	Bacillaceae	Bacteria	16819
200313_A00902_A_L001_APMG-8-6	Bacillaceae	Bacteria	13994
200313_A00902_A_L001_APMG-8-7	Bacillaceae	Bacteria	6
200313_A00902_A_L001_APMG-8-8	Bacillaceae	Bacteria	1496
200313_A00902_A_L001_APMG-8-9	Bacillaceae	Bacteria	3134
200313_A00902_A_L002_APMG-9-1	Bacillaceae	Bacteria	6708
200313_A00902_A_L002_APMG-9-10	Bacillaceae	Bacteria	160
200313_A00902_A_L002_APMG-9-11	Bacillaceae	Bacteria	152
200313_A00902_A_L002_APMG-9-12	Bacillaceae	Bacteria	4
200313_A00902_A_L002_APMG-9-2	Bacillaceae	Bacteria	12999
200313_A00902_A_L002_APMG-9-3	Bacillaceae	Bacteria	17512
200313_A00902_A_L002_APMG-9-5	Bacillaceae	Bacteria	30469
200313_A00902_A_L002_APMG-9-6	Bacillaceae	Bacteria	1995
200313_A00902_A_L002_APMG-9-7	Bacillaceae	Bacteria	1499
200313_A00902_A_L002_APMG-9-8	Bacillaceae	Bacteria	936
200313_A00902_A_L002_APMG-9-9	Bacillaceae	Bacteria	184
201118_A00902_B_L1-2_APMG_19_1	Bacillaceae	Bacteria	837
201118_A00902_B_L1-2_APMG_19_10	Bacillaceae	Bacteria	702
201118_A00902_B_L1-2_APMG_19_11	Bacillaceae	Bacteria	1244
201118_A00902_B_L1-2_APMG_19_12	Bacillaceae	Bacteria	3076
201118_A00902_B_L1-2_APMG_19_13	Bacillaceae	Bacteria	1410
201118_A00902_B_L1-2_APMG_19_14	Bacillaceae	Bacteria	504
201118_A00902_B_L1-2_APMG_19_15	Bacillaceae	Bacteria	1167
201118_A00902_B_L1-2_APMG_19_16	Bacillaceae	Bacteria	1663
201118_A00902_B_L1-2_APMG_19_17	Bacillaceae	Bacteria	560
201118_A00902_B_L1-2_APMG_19_18	Bacillaceae	Bacteria	27
201118_A00902_B_L1-2_APMG_19_19	Bacillaceae	Bacteria	14
201118_A00902_B_L1-2_APMG_19_2	Bacillaceae	Bacteria	385
201118_A00902_B_L1-2_APMG_19_20	Bacillaceae	Bacteria	17
201118_A00902_B_L1-2_APMG_19_21	Bacillaceae	Bacteria	30
201118_A00902_B_L1-2_APMG_19_22	Bacillaceae	Bacteria	4
201118_A00902_B_L1-2_APMG_19_3	Bacillaceae	Bacteria	592
201118_A00902_B_L1-2_APMG_19_4	Bacillaceae	Bacteria	3
201118_A00902_B_L1-2_APMG_19_5	Bacillaceae	Bacteria	790
201118_A00902_B_L1-2_APMG_19_6	Bacillaceae	Bacteria	978
201118_A00902_B_L1-2_APMG_19_7	Bacillaceae	Bacteria	3097
201118_A00902_B_L1-2_APMG_19_8	Bacillaceae	Bacteria	2042
201118_A00902_B_L1-2_APMG_19_9	Bacillaceae	Bacteria	4161
210810_A00902_B_L001_APMG-37-1	Bacillaceae	Bacteria	3326
210810_A00902_B_L001_APMG-37-10	Bacillaceae	Bacteria	431
210810_A00902_B_L001_APMG-37-11	Bacillaceae	Bacteria	272
210810_A00902_B_L001_APMG-37-12	Bacillaceae	Bacteria	3
210810_A00902_B_L001_APMG-37-13	Bacillaceae	Bacteria	17
210810_A00902_B_L001_APMG-37-14	Bacillaceae	Bacteria	2
210810_A00902_B_L001_APMG-37-15	Bacillaceae	Bacteria	47
210810_A00902_B_L001_APMG-37-2	Bacillaceae	Bacteria	719
210810_A00902_B_L001_APMG-37-3	Bacillaceae	Bacteria	647
