sample	genus	superkingdom	taxonReads
191011_SND405_A_L007_APMG-6-1	Methanoculleus	Archaea	1
191011_SND405_A_L007_APMG-6-2	Methanoculleus	Archaea	1
191011_SND405_A_L007_APMG-6-3	Methanoculleus	Archaea	2
191011_SND405_A_L007_APMG-6-4	Methanoculleus	Archaea	1
191011_SND405_A_L007_APMG-6-6	Methanoculleus	Archaea	1
200313_A00902_A_L001_APMG-8-1	Methanoculleus	Archaea	2
200313_A00902_A_L001_APMG-8-11	Methanoculleus	Archaea	4
200313_A00902_A_L001_APMG-8-12	Methanoculleus	Archaea	2
200313_A00902_A_L001_APMG-8-4	Methanoculleus	Archaea	2
200313_A00902_A_L001_APMG-8-6	Methanoculleus	Archaea	2
200313_A00902_A_L001_APMG-8-8	Methanoculleus	Archaea	1
200313_A00902_A_L002_APMG-9-1	Methanoculleus	Archaea	1
200313_A00902_A_L002_APMG-9-10	Methanoculleus	Archaea	4
200313_A00902_A_L002_APMG-9-11	Methanoculleus	Archaea	6
200313_A00902_A_L002_APMG-9-2	Methanoculleus	Archaea	1
200313_A00902_A_L002_APMG-9-5	Methanoculleus	Archaea	3
200313_A00902_A_L002_APMG-9-6	Methanoculleus	Archaea	2
200313_A00902_A_L002_APMG-9-7	Methanoculleus	Archaea	1
200313_A00902_A_L002_APMG-9-8	Methanoculleus	Archaea	2
200313_A00902_A_L002_APMG-9-9	Methanoculleus	Archaea	1
201118_A00902_B_L1-2_APMG_19_1	Methanoculleus	Archaea	27
201118_A00902_B_L1-2_APMG_19_10	Methanoculleus	Archaea	13
201118_A00902_B_L1-2_APMG_19_11	Methanoculleus	Archaea	19
201118_A00902_B_L1-2_APMG_19_12	Methanoculleus	Archaea	41
201118_A00902_B_L1-2_APMG_19_13	Methanoculleus	Archaea	123
201118_A00902_B_L1-2_APMG_19_14	Methanoculleus	Archaea	279
201118_A00902_B_L1-2_APMG_19_15	Methanoculleus	Archaea	30
201118_A00902_B_L1-2_APMG_19_16	Methanoculleus	Archaea	60
201118_A00902_B_L1-2_APMG_19_17	Methanoculleus	Archaea	32
201118_A00902_B_L1-2_APMG_19_2	Methanoculleus	Archaea	27
201118_A00902_B_L1-2_APMG_19_3	Methanoculleus	Archaea	16
201118_A00902_B_L1-2_APMG_19_5	Methanoculleus	Archaea	22
201118_A00902_B_L1-2_APMG_19_6	Methanoculleus	Archaea	7
201118_A00902_B_L1-2_APMG_19_7	Methanoculleus	Archaea	35
201118_A00902_B_L1-2_APMG_19_8	Methanoculleus	Archaea	11
201118_A00902_B_L1-2_APMG_19_9	Methanoculleus	Archaea	19
