sample	phylum	superkingdom	taxonReads
191011_SND405_A_L007_APMG-6-1	Arthropoda	Eukaryota	79
191011_SND405_A_L007_APMG-6-2	Arthropoda	Eukaryota	67
191011_SND405_A_L007_APMG-6-3	Arthropoda	Eukaryota	43
191011_SND405_A_L007_APMG-6-4	Arthropoda	Eukaryota	95
191011_SND405_A_L007_APMG-6-5	Arthropoda	Eukaryota	29
191011_SND405_A_L007_APMG-6-6	Arthropoda	Eukaryota	38
200313_A00902_A_L001_APMG-8-1	Arthropoda	Eukaryota	79
200313_A00902_A_L001_APMG-8-10	Arthropoda	Eukaryota	66
200313_A00902_A_L001_APMG-8-11	Arthropoda	Eukaryota	163
200313_A00902_A_L001_APMG-8-12	Arthropoda	Eukaryota	60
200313_A00902_A_L001_APMG-8-2	Arthropoda	Eukaryota	68
200313_A00902_A_L001_APMG-8-3	Arthropoda	Eukaryota	80
200313_A00902_A_L001_APMG-8-4	Arthropoda	Eukaryota	146
200313_A00902_A_L001_APMG-8-5	Arthropoda	Eukaryota	178
200313_A00902_A_L001_APMG-8-6	Arthropoda	Eukaryota	91
200313_A00902_A_L001_APMG-8-8	Arthropoda	Eukaryota	66
200313_A00902_A_L001_APMG-8-9	Arthropoda	Eukaryota	68
200313_A00902_A_L002_APMG-9-1	Arthropoda	Eukaryota	51
200313_A00902_A_L002_APMG-9-10	Arthropoda	Eukaryota	51
200313_A00902_A_L002_APMG-9-11	Arthropoda	Eukaryota	136
200313_A00902_A_L002_APMG-9-2	Arthropoda	Eukaryota	57
200313_A00902_A_L002_APMG-9-3	Arthropoda	Eukaryota	90
200313_A00902_A_L002_APMG-9-5	Arthropoda	Eukaryota	46
200313_A00902_A_L002_APMG-9-6	Arthropoda	Eukaryota	94
200313_A00902_A_L002_APMG-9-7	Arthropoda	Eukaryota	58
200313_A00902_A_L002_APMG-9-8	Arthropoda	Eukaryota	67
200313_A00902_A_L002_APMG-9-9	Arthropoda	Eukaryota	51
201118_A00902_B_L1-2_APMG_19_1	Arthropoda	Eukaryota	1094
201118_A00902_B_L1-2_APMG_19_10	Arthropoda	Eukaryota	572
201118_A00902_B_L1-2_APMG_19_11	Arthropoda	Eukaryota	2161
201118_A00902_B_L1-2_APMG_19_12	Arthropoda	Eukaryota	1515
201118_A00902_B_L1-2_APMG_19_13	Arthropoda	Eukaryota	897
201118_A00902_B_L1-2_APMG_19_14	Arthropoda	Eukaryota	363
201118_A00902_B_L1-2_APMG_19_15	Arthropoda	Eukaryota	635
201118_A00902_B_L1-2_APMG_19_16	Arthropoda	Eukaryota	860
201118_A00902_B_L1-2_APMG_19_17	Arthropoda	Eukaryota	522
201118_A00902_B_L1-2_APMG_19_18	Arthropoda	Eukaryota	4
201118_A00902_B_L1-2_APMG_19_19	Arthropoda	Eukaryota	2
201118_A00902_B_L1-2_APMG_19_2	Arthropoda	Eukaryota	1583
201118_A00902_B_L1-2_APMG_19_20	Arthropoda	Eukaryota	5
201118_A00902_B_L1-2_APMG_19_21	Arthropoda	Eukaryota	6
201118_A00902_B_L1-2_APMG_19_22	Arthropoda	Eukaryota	6
201118_A00902_B_L1-2_APMG_19_3	Arthropoda	Eukaryota	834
201118_A00902_B_L1-2_APMG_19_4	Arthropoda	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_5	Arthropoda	Eukaryota	1913
201118_A00902_B_L1-2_APMG_19_6	Arthropoda	Eukaryota	273
201118_A00902_B_L1-2_APMG_19_7	Arthropoda	Eukaryota	642
201118_A00902_B_L1-2_APMG_19_8	Arthropoda	Eukaryota	817
201118_A00902_B_L1-2_APMG_19_9	Arthropoda	Eukaryota	1448
210810_A00902_B_L001_APMG-37-1	Arthropoda	Eukaryota	260
210810_A00902_B_L001_APMG-37-10	Arthropoda	Eukaryota	369
210810_A00902_B_L001_APMG-37-11	Arthropoda	Eukaryota	340
210810_A00902_B_L001_APMG-37-12	Arthropoda	Eukaryota	3
210810_A00902_B_L001_APMG-37-14	Arthropoda	Eukaryota	3
210810_A00902_B_L001_APMG-37-15	Arthropoda	Eukaryota	120
210810_A00902_B_L001_APMG-37-2	Arthropoda	Eukaryota	1007
210810_A00902_B_L001_APMG-37-3	Arthropoda	Eukaryota	462
210810_A00902_B_L001_APMG-37-4	Arthropoda	Eukaryota	473
210810_A00902_B_L001_APMG-37-5	Arthropoda	Eukaryota	1
210810_A00902_B_L001_APMG-37-6	Arthropoda	Eukaryota	365
210810_A00902_B_L001_APMG-37-7	Arthropoda	Eukaryota	496
210810_A00902_B_L001_APMG-37-8	Arthropoda	Eukaryota	315
210810_A00902_B_L001_APMG-37-9	Arthropoda	Eukaryota	452
210810_A00902_B_L002_APMG-38-1	Arthropoda	Eukaryota	256
210810_A00902_B_L002_APMG-38-10	Arthropoda	Eukaryota	2127
210810_A00902_B_L002_APMG-38-11	Arthropoda	Eukaryota	3
210810_A00902_B_L002_APMG-38-12	Arthropoda	Eukaryota	8
210810_A00902_B_L002_APMG-38-13	Arthropoda	Eukaryota	4
210810_A00902_B_L002_APMG-38-14	Arthropoda	Eukaryota	17
210810_A00902_B_L002_APMG-38-15	Arthropoda	Eukaryota	212
210810_A00902_B_L002_APMG-38-2	Arthropoda	Eukaryota	522
210810_A00902_B_L002_APMG-38-3	Arthropoda	Eukaryota	644
210810_A00902_B_L002_APMG-38-4	Arthropoda	Eukaryota	1160
210810_A00902_B_L002_APMG-38-5	Arthropoda	Eukaryota	1357
210810_A00902_B_L002_APMG-38-6	Arthropoda	Eukaryota	27
210810_A00902_B_L002_APMG-38-7	Arthropoda	Eukaryota	406
210810_A00902_B_L002_APMG-38-8	Arthropoda	Eukaryota	345
210810_A00902_B_L002_APMG-38-9	Arthropoda	Eukaryota	464
BH193L-1_S22	Arthropoda	Eukaryota	220
BH193L-2_S19	Arthropoda	Eukaryota	348
BH193L-2_S20	Arthropoda	Eukaryota	230
BH193L-3_S20	Arthropoda	Eukaryota	549
BH193L-4_S23	Arthropoda	Eukaryota	793
BH193L-5_S24	Arthropoda	Eukaryota	321
BH194L-1_S25	Arthropoda	Eukaryota	309
BH194L-2_S26	Arthropoda	Eukaryota	306
BH194L-3_S25	Arthropoda	Eukaryota	195
BH194L-4_S16	Arthropoda	Eukaryota	394
BH194L-4_S17	Arthropoda	Eukaryota	247
BH194L-6_S26	Arthropoda	Eukaryota	463
BH194L-7_S17	Arthropoda	Eukaryota	717
BH194L-7_S18	Arthropoda	Eukaryota	472
BH195L-1_S27	Arthropoda	Eukaryota	589
BH195L-2_S18	Arthropoda	Eukaryota	1070
BH195L-2_S19	Arthropoda	Eukaryota	721
BH195L-3_S28	Arthropoda	Eukaryota	1015
BH195L-4_S29	Arthropoda	Eukaryota	1090
EBS12	Arthropoda	Eukaryota	2
ELS162S7	Arthropoda	Eukaryota	1323
ELS163S8	Arthropoda	Eukaryota	1150
ELS165S9	Arthropoda	Eukaryota	1393
ELS167S10	Arthropoda	Eukaryota	2038
ELS170S11	Arthropoda	Eukaryota	1
IE111L-1_S1	Arthropoda	Eukaryota	1266
IE111L-2_S2	Arthropoda	Eukaryota	1191
IE111L-3_S3	Arthropoda	Eukaryota	1758
IE111L-4_S1	Arthropoda	Eukaryota	1026
IE111L-5_S5	Arthropoda	Eukaryota	1521
IE111L-6_S6	Arthropoda	Eukaryota	1309
IE111L-7_S7	Arthropoda	Eukaryota	1284
IE112L-1_S9	Arthropoda	Eukaryota	799
IE112L-2_S10	Arthropoda	Eukaryota	674
IE112L-3_S11	Arthropoda	Eukaryota	1058
IE112L-4_S17	Arthropoda	Eukaryota	1294
IE112L-5_S18	Arthropoda	Eukaryota	1253
IE112L-6_S19	Arthropoda	Eukaryota	1056
IE112L-7_S12	Arthropoda	Eukaryota	902
IE112L-8_S15	Arthropoda	Eukaryota	1
IE113L-1_S13	Arthropoda	Eukaryota	2137
