sample	species	genus	superkingdom	taxonReads
191011_SND405_A_L007_APMG-6-1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	88
191011_SND405_A_L007_APMG-6-2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	177
191011_SND405_A_L007_APMG-6-3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	62
191011_SND405_A_L007_APMG-6-4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	282
191011_SND405_A_L007_APMG-6-5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	6
191011_SND405_A_L007_APMG-6-6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	31
200313_A00902_A_L001_APMG-8-1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	273
200313_A00902_A_L001_APMG-8-10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	78
200313_A00902_A_L001_APMG-8-11	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	35
200313_A00902_A_L001_APMG-8-12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	84
200313_A00902_A_L001_APMG-8-2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	217
200313_A00902_A_L001_APMG-8-3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	280
200313_A00902_A_L001_APMG-8-4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	749
200313_A00902_A_L001_APMG-8-5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	432
200313_A00902_A_L001_APMG-8-6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	43
200313_A00902_A_L001_APMG-8-8	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
200313_A00902_A_L001_APMG-8-9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	64
200313_A00902_A_L002_APMG-9-1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	60
200313_A00902_A_L002_APMG-9-10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	10
200313_A00902_A_L002_APMG-9-11	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
200313_A00902_A_L002_APMG-9-2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	47
200313_A00902_A_L002_APMG-9-3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	31
200313_A00902_A_L002_APMG-9-5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	50
200313_A00902_A_L002_APMG-9-6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	45
200313_A00902_A_L002_APMG-9-7	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	23
200313_A00902_A_L002_APMG-9-8	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	32
200313_A00902_A_L002_APMG-9-9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
201118_A00902_B_L1-2_APMG_19_13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
201118_A00902_B_L1-2_APMG_19_16	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	2
201118_A00902_B_L1-2_APMG_19_17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
201118_A00902_B_L1-2_APMG_19_5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
201118_A00902_B_L1-2_APMG_19_9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
210810_A00902_B_L001_APMG-37-7	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
210810_A00902_B_L001_APMG-37-8	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
210810_A00902_B_L002_APMG-38-7	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
ELS167S10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE111L-3_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE112L-1_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE112L-4_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	2
IE112L-6_S19	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE113L-1_S13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE113L-6_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE114L-1_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	2
JK079L-9_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
JK081L-1_S1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
JK081L-12_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
JK081L-9_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
JK136L-2_S2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	27
JK136L-3_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	122
JK136L-4_S4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	237
JK136L-5_S5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	31
JK136L-6_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	116
JK136L-7_S7	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	217
JK137L-1_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	234
JK137L-2_S10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	89
JK137L-3_S11	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	177
JK137L-4_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	286
JK137L-5_S13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	173
JK137L-6_S14	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	352
JK137L-7_S15	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	249
JK138L-1_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	286
JK138L-2_S18	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	244
JK138L-3_S19	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	532
JK138L-4_S20	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	506
JK138L-6_S22	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	143
JK138L-7_S23	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	103
JoW001L-1_S1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	18
JoW001L-2_S2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	4
JoW001L-3_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	28
JoW001L-4_S4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	13
JoW001L-5_S5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	12
JoW001L-6_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	12
JoW002L-1_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	7
JoW002L-2_S10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	21
JoW002L-4_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	34
JoW002L-5_S13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	43
JoW002L-6_S14	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	102
JoW003L-1_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	70
JoW003L-2_S18	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	41
JoW003L-3_S19	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
JoW003L-4_S20	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	6
JoW003L-5_S21	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	10
JoW003L-6_S22	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	8
JoW004L-1_S25	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	6
JoW004L-2_S26	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	8
JoW004L-3_S27	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	10
JoW004L-4_S28	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
JoW004L-5_S29	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	8
JoW004L-6_S30	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	36
JoW005L-1_S33	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	16
JoW005L-2_S34	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	76
JoW005L-3_S35	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	120
JoW005L-4_S36	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	152
JoW007L-1_S1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	11
JoW007L-2_S2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	36
JoW007L-3_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	33
JoW007L-4_S4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	27
JoW007L-5_S5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	16
JoW007L-6_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	8
StB097L-01_S1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	136
StB097L-02_S2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	50
StB097L-03_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	123
StB097L-04_S4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	258
StB097L-05_S5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	620
StB097L-06_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	178
StB106L-01_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	10
StB106L-02_S10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	33
StB106L-04_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	16
StB106L-05_S13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	51
StB108L-01_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	246
StB108L-02_S18	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	191
StB108L-03_S19	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	276
StB108L-05_S21	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	84
StB108L-07_S23	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	66
