sample	superkingdom	taxonReads
191011_SND405_A_L007_APMG-6-1	Archaea	1044
191011_SND405_A_L007_APMG-6-2	Archaea	2018
191011_SND405_A_L007_APMG-6-3	Archaea	1959
191011_SND405_A_L007_APMG-6-4	Archaea	3914
191011_SND405_A_L007_APMG-6-5	Archaea	92
191011_SND405_A_L007_APMG-6-6	Archaea	712
200313_A00902_A_L001_APMG-8-1	Archaea	5675
200313_A00902_A_L001_APMG-8-10	Archaea	1761
200313_A00902_A_L001_APMG-8-11	Archaea	1452
200313_A00902_A_L001_APMG-8-12	Archaea	1838
200313_A00902_A_L001_APMG-8-2	Archaea	2362
200313_A00902_A_L001_APMG-8-3	Archaea	2969
200313_A00902_A_L001_APMG-8-4	Archaea	8244
200313_A00902_A_L001_APMG-8-5	Archaea	6562
200313_A00902_A_L001_APMG-8-6	Archaea	1131
200313_A00902_A_L001_APMG-8-7	Archaea	3
200313_A00902_A_L001_APMG-8-8	Archaea	253
200313_A00902_A_L001_APMG-8-9	Archaea	1671
200313_A00902_A_L002_APMG-9-1	Archaea	1303
200313_A00902_A_L002_APMG-9-10	Archaea	40587
200313_A00902_A_L002_APMG-9-11	Archaea	62146
200313_A00902_A_L002_APMG-9-13	Archaea	1
200313_A00902_A_L002_APMG-9-2	Archaea	1325
200313_A00902_A_L002_APMG-9-3	Archaea	941
200313_A00902_A_L002_APMG-9-5	Archaea	1152
200313_A00902_A_L002_APMG-9-6	Archaea	1432
200313_A00902_A_L002_APMG-9-7	Archaea	1248
200313_A00902_A_L002_APMG-9-8	Archaea	1156
200313_A00902_A_L002_APMG-9-9	Archaea	79034
201118_A00902_B_L1-2_APMG_19_1	Archaea	19131
201118_A00902_B_L1-2_APMG_19_10	Archaea	8385
201118_A00902_B_L1-2_APMG_19_11	Archaea	13895
201118_A00902_B_L1-2_APMG_19_12	Archaea	16677
201118_A00902_B_L1-2_APMG_19_13	Archaea	61328
201118_A00902_B_L1-2_APMG_19_14	Archaea	62561
201118_A00902_B_L1-2_APMG_19_15	Archaea	15646
201118_A00902_B_L1-2_APMG_19_16	Archaea	35052
201118_A00902_B_L1-2_APMG_19_17	Archaea	13498
201118_A00902_B_L1-2_APMG_19_18	Archaea	60
201118_A00902_B_L1-2_APMG_19_19	Archaea	46
201118_A00902_B_L1-2_APMG_19_2	Archaea	13862
201118_A00902_B_L1-2_APMG_19_20	Archaea	43
201118_A00902_B_L1-2_APMG_19_21	Archaea	59
201118_A00902_B_L1-2_APMG_19_22	Archaea	17
201118_A00902_B_L1-2_APMG_19_3	Archaea	10847
201118_A00902_B_L1-2_APMG_19_4	Archaea	119
201118_A00902_B_L1-2_APMG_19_5	Archaea	17977
201118_A00902_B_L1-2_APMG_19_6	Archaea	9603
201118_A00902_B_L1-2_APMG_19_7	Archaea	54854
201118_A00902_B_L1-2_APMG_19_8	Archaea	14249
201118_A00902_B_L1-2_APMG_19_9	Archaea	40865
210810_A00902_B_L001_APMG-37-1	Archaea	5153
210810_A00902_B_L001_APMG-37-10	Archaea	5284
210810_A00902_B_L001_APMG-37-11	Archaea	3656
210810_A00902_B_L001_APMG-37-12	Archaea	1
210810_A00902_B_L001_APMG-37-13	Archaea	2
210810_A00902_B_L001_APMG-37-14	Archaea	1
210810_A00902_B_L001_APMG-37-15	Archaea	5
210810_A00902_B_L001_APMG-37-2	Archaea	29702
210810_A00902_B_L001_APMG-37-3	Archaea	6845
210810_A00902_B_L001_APMG-37-4	Archaea	4329
210810_A00902_B_L001_APMG-37-5	Archaea	7
210810_A00902_B_L001_APMG-37-6	Archaea	2243
210810_A00902_B_L001_APMG-37-7	Archaea	8257
210810_A00902_B_L001_APMG-37-8	Archaea	3802
210810_A00902_B_L001_APMG-37-9	Archaea	11866
210810_A00902_B_L002_APMG-38-1	Archaea	4275
210810_A00902_B_L002_APMG-38-10	Archaea	2228
210810_A00902_B_L002_APMG-38-11	Archaea	14
210810_A00902_B_L002_APMG-38-12	Archaea	4
210810_A00902_B_L002_APMG-38-13	Archaea	3
210810_A00902_B_L002_APMG-38-14	Archaea	2
210810_A00902_B_L002_APMG-38-15	Archaea	19992
210810_A00902_B_L002_APMG-38-2	Archaea	3087
210810_A00902_B_L002_APMG-38-3	Archaea	3142
210810_A00902_B_L002_APMG-38-4	Archaea	1785
